id,name,description,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price,seafood_yn,translatedText
2,Chicken gumbo,NA,111,117,1895,1960,0.1,0.8,0,Chicken gumbo
3,Tomato aux croutons,NA,13,13,1893,1917,0.25,0.4,0,Tomato with croutons
4,Onion au gratin,NA,41,41,1900,1971,0.25,1,0,Onion au gratin
7,Radishes,NA,3262,3346,1854,2928,0,25,0,Radishes
8,Chicken soup with rice,NA,48,49,1897,1961,0.1,0.6,0,Chicken soup with rice
9,Clam broth (cup),NA,14,16,1899,1962,0.15,0.4,1,Clam broth (cup)
10,"Cream of new asparagus, croutons",NA,2,2,1900,1900,0,0,0,"Cream of new asparagus, croutons"
11,Clear green turtle,NA,157,157,1893,1937,0.25,60,1,Clear green turtle
12,"Striped bass saute, meuniere",NA,2,2,1900,1900,0,0,1,"Striped bass saute, meuniere"
13,Anchovies,NA,453,484,1858,1987,0,30,0,Anchovies
14,Fresh lobsters in every style,NA,4,4,1899,1900,0,0,1,Fresh lobsters in every style
15,Celery,NA,4247,4691,1,2928,0,50,0,Celery
17,Caviar,NA,505,534,1880,1987,0,75,1,Caviar
18,Sardines,NA,1425,1484,1856,2928,0,50,1,Sardines
19,India chutney,NA,16,16,1865,1901,0.1,0.2,0,India chutney
20,Pickles,NA,454,473,1852,1987,0,10,0,Pickles
21,English walnuts,NA,83,86,1851,1948,0.1,0.3,0,English walnuts
22,Pate de foies-gras,NA,9,9,1898,1901,1,1,0,Foie gras pate
24,"Brook trout, mountain style",NA,2,2,1900,1900,0,0,1,"Brook trout, mountain style"
25,"Whitebait, sauce tartare",NA,4,4,1900,1901,0.3,0.75,1,"Whitebait, tartar sauce"
26,Clams,NA,170,180,1881,1970,0.1,0.9,1,Clams
27,Oysters,NA,289,292,1862,1963,0,35,1,Oysters
28,Claremont planked shad,NA,2,2,1899,1900,1.5,2.5,1,Claremont planked shad
30,Cerealine with Milk,NA,1,1,1901,1901,0,0,0,Cerealine with Milk
31,Sliced Bananas,NA,220,238,1900,1987,0,15,0,Sliced Bananas
32,Wheat Vitos,NA,3,3,1900,1900,0,0,0,Wheat Vitos
33,Sliced Tomatoes,NA,1195,1256,1873,2928,0,25,0,Sliced Tomatoes
34,Russian Caviare on Toast,NA,3,3,1900,1900,NA,NA,1,Russian Caviare on Toast
35,Smoked beef in cream,NA,21,21,1896,1933,0.3,0.9,0,Smoked beef in cream
38,Apple Sauce,NA,721,830,1,1987,0,20,0,Apple Sauce
40,Breakfast,NA,28,28,1900,1967,0.25,1,0,Breakfast
41,Strawberries,NA,304,339,1854,1985,0,50,0,Strawberries
42,Preserved figs,NA,257,259,1889,1969,0,30,0,Preserved figs
45,CREAM OF CAULIFLOWER,NA,18,18,1899,1949,0.1,0.5,0,CREAM OF CAULIFLOWER
46,"BROILED SHAD, A LA MAITRE D'HOTEL",NA,6,6,1896,1900,0,0,1,"BROILED SHAD, A LA MAITRE D'HOTEL"
47,SLICED CUCUMBERS,NA,455,458,1881,1964,0,25,0,SLICED CUCUMBERS
48,SALTED ALMONDS,NA,773,782,1889,2012,0,10,0,SALTED ALMONDS
49,"POTATOES, JULIEN",NA,3,3,1900,1900,0,0,0,"POTATOES, JULIEN"
50,Cracked Wheat,NA,120,124,1859,1917,0.1,0.3,0,Cracked Wheat
51,Malt Breakfast Food,NA,63,64,1899,1917,0.1,0.35,0,Malt Breakfast Food
52,"BOILED BEEF TONGUE, ITALIAN SAUCE",NA,3,3,1900,1900,0,0,0,"BOILED BEEF TONGUE, ITALIAN SAUCE"
53,Young Onions,NA,157,157,1894,1949,0.05,10,0,Young Onions
54,Pears,NA,631,650,1852,1974,0,50,0,Pears
55,"ROAST SIRLOIN OF BEEF, YORKSHIRE PUDDING",NA,11,12,1900,1974,0,0.75,0,"ROAST SIRLOIN OF BEEF, YORKSHIRE PUDDING"
58,"ROAST EASTER LAMB, MINT SAUCE",NA,4,4,1899,1900,0,0,0,"ROAST EASTER LAMB, MINT SAUCE"
61,BROWNED POTATOES,NA,55,58,1893,1980,0.25,20,0,BROWNED POTATOES
62,Pampelmuse,NA,30,30,1900,1910,0,0,0,Pampelmuse
66,Grape fruit,NA,715,749,1895,1968,0,2540,0,Grape fruit
67,Oranges,NA,1423,1479,1851,2012,0,25,0,Oranges
68,Clam Fritters,NA,258,270,1880,1959,0.15,50,1,Clam Fritters
69,Filet v. Schildkrote m. Truffeln,NA,3,3,1900,1900,0,0,1,Filet v. Schildkrote m. Truffeln
70,"Bouillon, en Tasse",NA,17,17,1897,1906,0.2,0.25,0,"Broth, in Cup"
71,Spargel Suppe,NA,4,4,1899,1900,0,0,0,Asparagus soup
78,Vegetable,NA,108,116,1892,1987,0,1.75,0,Vegetable
80,Puree of split peas aux croutons,NA,11,11,1900,1917,0.05,0.35,0,Puree of split peas with croutons
82,"Broiled shad, Maitre d'hotel",NA,27,27,1889,1937,0.3,0.9,1,"Broiled shad, Maitre d'hotel"
83,Mashed potatoes,NA,2583,2670,1852,2012,0,15,0,Mashed potatoes
84,Breaded veal cutlet with peas,NA,3,3,1900,1900,0,0,0,Breaded veal cutlet with peas
86,Hind-quarter of spring lamb with stuffed tomatoes,NA,3,3,1900,1900,0,0,0,Hind-quarter of spring lamb with stuffed tomatoes
87,Hot or cold ribs of beef,NA,1,1,1900,1900,NA,NA,0,Hot or cold ribs of beef
88,Doucette salad,NA,7,7,1900,1910,0,0,0,Doucette salad
89,New beets,NA,134,139,1865,1981,0.05,0.5,0,New beets
90,Salisbury steak au cresson,NA,1,1,1900,1900,0,0,0,Salisbury steak au cresson
91,Boiled rice,NA,830,839,1859,1969,0,25,0,Boiled rice
92,Stewed oyster plant,NA,28,28,1884,1901,0.1,0.4,0,Stewed oyster plant
93,"Boiled onions, cream sauce",NA,46,48,1893,1940,0.05,0.45,0,"Boiled onions, cream sauce"
94,Old fashioned rice pudding,NA,16,22,1899,1945,0.15,0.3,0,Old fashioned rice pudding
95,Ice cream,NA,1059,1178,1880,1993,0,20,0,Ice cream
96,Coffee,NA,7741,8484,1,2928,0,30,0,Coffee
97,Tea,NA,4159,4768,1858,2012,0,25,0,Tea
98,Milk,NA,1894,2290,1890,2012,0,45,0,Milk
99,Mush,NA,18,18,1853,1915,0.05,0.15,0,Mush
100,Rolled Oats,NA,104,112,1900,1989,0,0.35,0,Rolled Oats
101,Small Hominy,NA,20,20,1900,1900,0,0,0,Small Hominy
102,Broiled Mackerel,NA,41,44,1856,1957,0.3,2.5,1,Broiled Mackerel
103,Kippered Herring,NA,231,236,1,1970,0,0.85,1,Kippered Herring
104,Strawberries with cream,NA,145,149,1882,1969,0,65,0,Strawberries with cream
105,Compote of fruits,NA,42,42,1899,1966,0,1.15,0,Compote of fruits
106,Orange marmalade,NA,460,479,1889,1970,0,4.5,0,Orange marmalade
107,Baked apples with cream,NA,142,145,1883,1945,0.1,20,0,Baked apples with cream
108,Bananas,NA,1195,1213,1,2012,0,25,0,Bananas
109,Bananas with cream,NA,76,77,1900,1957,0.1,0.5,0,Bananas with cream
111,Stewed prunes,NA,1268,1372,1881,1987,0,20,0,Stewed prunes
112,Fruit,NA,1919,2006,1854,2928,0,40,0,Fruit
