"","translatedText","detectedSourceLanguage","text"
"1","Chicken gumbo","en","Chicken gumbo"
"2","Tomato with croutons","fr","Tomato aux croutons"
"3","Onion au gratin","fr","Onion au gratin"
"4","Radishes","en","Radishes"
"5","Chicken soup with rice","en","Chicken soup with rice"
"6","Clam broth (cup)","en","Clam broth (cup)"
"7","Cream of new asparagus, croutons","en","Cream of new asparagus, croutons"
"8","Clear green turtle","en","Clear green turtle"
"9","Striped bass saute, meuniere","en","Striped bass saute, meuniere"
"10","Anchovies","en","Anchovies"
"11","Fresh lobsters in every style","en","Fresh lobsters in every style"
"12","Celery","en","Celery"
"13","Caviar","en","Caviar"
"14","Sardines","en","Sardines"
"15","India chutney","en","India chutney"
"16","Pickles","en","Pickles"
"17","English walnuts","en","English walnuts"
"18","Foie gras pate","fr","Pate de foies-gras"
"19","Brook trout, mountain style","en","Brook trout, mountain style"
"20","Whitebait, tartar sauce","fr","Whitebait, sauce tartare"
"21","Clams","en","Clams"
"22","Oysters","en","Oysters"
"23","Claremont planked shad","en","Claremont planked shad"
"24","Cerealine with Milk","en","Cerealine with Milk"
"25","Sliced Bananas","en","Sliced Bananas"
"26","Wheat Vitos","en","Wheat Vitos"
"27","Sliced Tomatoes","en","Sliced Tomatoes"
"28","Russian Caviare on Toast","en","Russian Caviare on Toast"
"29","Smoked beef in cream","en","Smoked beef in cream"
"30","Apple Sauce","en","Apple Sauce"
"31","Breakfast","en","Breakfast"
"32","Strawberries","en","Strawberries"
"33","Preserved figs","en","Preserved figs"
"34","CREAM OF CAULIFLOWER","en","CREAM OF CAULIFLOWER"
"35","BROILED SHAD, A LA MAITRE D'HOTEL","en","BROILED SHAD, A LA MAITRE D'HOTEL"
"36","SLICED CUCUMBERS","en","SLICED CUCUMBERS"
"37","SALTED ALMONDS","en","SALTED ALMONDS"
"38","POTATOES, JULIEN","en","POTATOES, JULIEN"
"39","Cracked Wheat","en","Cracked Wheat"
"40","Malt Breakfast Food","en","Malt Breakfast Food"
"41","BOILED BEEF TONGUE, ITALIAN SAUCE","en","BOILED BEEF TONGUE, ITALIAN SAUCE"
"42","Young Onions","en","Young Onions"
"43","Pears","en","Pears"
"44","ROAST SIRLOIN OF BEEF, YORKSHIRE PUDDING","en","ROAST SIRLOIN OF BEEF, YORKSHIRE PUDDING"
"45","ROAST EASTER LAMB, MINT SAUCE","en","ROAST EASTER LAMB, MINT SAUCE"
"46","BROWNED POTATOES","en","BROWNED POTATOES"
"47","Pampelmuse","fr","Pampelmuse"
"48","Grape fruit","en","Grape fruit"
"49","Oranges","en","Oranges"
"50","Clam Fritters","en","Clam Fritters"
"51","Filet v. Schildkrote m. Truffeln","nl","Filet v. Schildkrote m. Truffeln"
"52","Broth, in Cup","fr","Bouillon, en Tasse"
"53","Asparagus soup","de","Spargel Suppe"
"54","Vegetable","en","Vegetable"
"55","Puree of split peas with croutons","fr","Puree of split peas aux croutons"
"56","Broiled shad, Maitre d'hotel","en","Broiled shad, Maitre d'hotel"
"57","Mashed potatoes","en","Mashed potatoes"
"58","Breaded veal cutlet with peas","en","Breaded veal cutlet with peas"
"59","Hind-quarter of spring lamb with stuffed tomatoes","en","Hind-quarter of spring lamb with stuffed tomatoes"
"60","Hot or cold ribs of beef","en","Hot or cold ribs of beef"
"61","Doucette salad","en","Doucette salad"
"62","New beets","en","New beets"
"63","Salisbury steak au cresson","en","Salisbury steak au cresson"
"64","Boiled rice","en","Boiled rice"
"65","Stewed oyster plant","en","Stewed oyster plant"
"66","Boiled onions, cream sauce","en","Boiled onions, cream sauce"
"67","Old fashioned rice pudding","en","Old fashioned rice pudding"
"68","Ice cream","en","Ice cream"
"69","Coffee","en","Coffee"
"70","Tea","en","Tea"
"71","Milk","en","Milk"
"72","Mush","ar","Mush"
"73","Rolled Oats","en","Rolled Oats"
"74","Small Hominy","en","Small Hominy"
"75","Broiled Mackerel","en","Broiled Mackerel"
"76","Kippered Herring","en","Kippered Herring"
"77","Strawberries with cream","en","Strawberries with cream"
"78","Compote of fruits","en","Compote of fruits"
"79","Orange marmalade","en","Orange marmalade"
"80","Baked apples with cream","en","Baked apples with cream"
"81","Bananas","en","Bananas"
"82","Bananas with cream","en","Bananas with cream"
"83","Stewed prunes","en","Stewed prunes"
"84","Fruit","en","Fruit"
"85","Grapes","en","Grapes"
"86","Honey in comb","en","Honey in comb"
"87","Apples","en","Apples"
"88","Oranges sliced","en","Oranges sliced"
"89","Stewed tomatoes","en","Stewed tomatoes"
"90","Large pot of coffee","en","Large pot of coffee"
"91","Cup of coffee (served in small pot)","en","Cup of coffee (served in small pot)"
"92","Large pot of Oolong tea","en","Large pot of Oolong tea"
"93","Pot of chocolate","en","Pot of chocolate"
"94","Pitcher of milk","en","Pitcher of milk"
"95","Pot of joke","ca","Pot of broma"
"96","Eggs, boiled [2]","en","Eggs, boiled [2]"
"97","Sliced Bananas and Cream","en","Sliced Bananas and Cream"
"98","Baked Apples and Cream","en","Baked Apples and Cream"
"99","Pettijohn Breakfast Food","en","Pettijohn Breakfast Food"
"100","Quaker Oats","en","Quaker Oats"
"101","Sugar Cured Ham","en","Sugar Cured Ham"
"102","PINE APPLE FRITTERS, SAUCE MARASCHINO","en","PINE APPLE FRITTERS, SAUCE MARASCHINO"
"103","Planked shad","en","Planked shad"
"104","Baked bluefish, Duxelle","en","Baked bluefish, Duxelle"
"105","Milk rice","en","Milk rice"
"106","French rolls","en","French rolls"
"107","Milk rolls","en","Milk rolls"
"108","Corn muffins","en","Corn muffins"
"109","Omelette with herbs","fr","Omelette aux fines herbes"
"110","Boiled eggs","en","Boiled eggs"
"111","Bacon and eggs","en","Bacon and eggs"
"112","Fish cakes","en","Fish cakes"
"113","Food","en","Food"
"114","Shreaded Wheat","en","Shreaded Wheat"
"115","Clam cocktail","en","Clam cocktail"
